#Node1	Node2	weight
P51532	Q92922	0.75
P51532	Q15796	0.311133
P51532	Q13547	0.75
P51532	P01106	0.75
P51532	P40763	0.75
P51532	Q8TAQ2	0.75
P51532	Q969G3	0.75
P28908	Q12933	0.75
P28908	Q13114	0.75
P28908	P41182	0.75
P29590	Q9BYM8	0.666441
P29590	Q93009	0.75
P29590	P42224	0.311133
P29590	P19838	0.75
P29590	Q92769	0.75
P29590	P41182	0.28041900000000003
P29590	P05412	0.75
P29590	Q14164	0.666441
P29590	Q14191	0.311133
P29590	P06400	0.75
P29590	P19793	0.75
P29590	Q05516	0.75
P29590	Q92793	0.75
P29590	P54253	0.75
P29590	Q04206	0.75
P29590	Q15796	0.311133
P29590	P51532	0.666441
P29590	Q13547	0.75
P29590	P01106	0.75
P29590	Q9UER7	0.75
P29590	P40763	0.75
Q8IV45	P19838	0.311133
Q8IV45	P51617	0.348804
Q8IV45	Q04206	0.311133
Q13049	Q9Y6X2	0.49229300000000004
Q13049	Q9NRR5	0.75
Q13049	P51617	0.75
Q13049	P19793	0.311133
Q13049	P61088	0.75
Q13049	P54253	0.75
P20749	P42224	0.311133
P20749	Q01201	0.666441
P20749	Q92793	0.473922
P20749	Q13547	0.311133
P20749	P19793	0.75
P20749	Q9Y230	0.311133
P20749	Q09472	0.75
P20749	Q92905	0.75
P20749	P19838	0.75
P20749	P03372	0.311133
P20749	P40763	0.311133
P20749	Q04206	0.348804
P20749	Q00653	0.75
P20749	P05412	0.75
P20749	P06241	0.75
Q01201	P78527	0.75
Q01201	Q12824	0.75
Q01201	P25963	0.75
Q01201	P38646	0.75
Q01201	O14497	0.473922
Q01201	Q93009	0.75
Q01201	P17066	0.75
Q01201	P19838	0.75
Q01201	Q92785	0.75
Q01201	P20749	0.666441
Q01201	O14980	0.311133
Q01201	P11142	0.75
Q01201	P62263	0.75
Q01201	Q92922	0.75
Q01201	Q9UER7	0.710749
Q01201	Q04206	0.75
Q01201	P51532	0.75
Q01201	Q00653	0.75
Q01201	Q8TAQ2	0.75
Q01201	Q04864	0.710749
Q01201	Q969G3	0.75
P43405	Q13114	0.311133
P43405	P31749	0.75
